id	authors	title	citation	doi	year	month	simple_duplication	reposition_duplication	alteration_duplication	cuts_and_beautification	findings	reported	correction_date	retraction	correction	no_action	completed	first_author	affiliation	publications	citations	year_start	year_end	top_topics	publication_types	top_authors	top_journals	top_institutions	top_conferences	lab_size_approx	publication_variety	journal_variety	institution_variety	conference_variety	biology	medicine	immunology	cancer	biochemistry	virology	career_duration	publication_rate	highest_degree	degree_area	degree_level	total_cites	impact_factor	eigenfactor	web_interest	images_interest	youtube_interest	academic_reputation	affiliation_funding	falsified_media
207	Corentin Herbert, Ulrich Schieborr, Krishna Saxena, Jarek Juraszek, Frederik De Smet, Chantal Alcouffe, Marc Bianciotto, Giorgio Saladino, David Sibrac, Denis Kudlinzki, Sridhar Sreeramulu, Alan Brown, Patrice Rigon, Jean-Pascal Herault, Gilbert Lassalle,1 Tom L. Blundell, Frederic Rousseau, Ann Gils, Joost Schymkowitz, Peter Tompa, Jean-Marc Herbert, Peter Carmeliet, Francesco Luigi Gervasio, Harald Schwalbe, and Francoise Bono	Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling	Cancer Cell 23, 489Ã501, April 15, 2013	10.1016/j.ccr.2013.02.018	2013	April	0	1	0	0	Duplicated blots	1	2016-07-11	0	1	0	1	Corentin Herbert	Paul Sabatier University	31	730	2001	2018	Biology|Fibroblast growth factor|Fibroblast growth factor receptor|Allosteric regulation|Angiogenesis|Cancer research|Immunology|Signal transduction|Receptor tyrosine kinase|Growth factor	Journal publications|Patents|Other	Francoise Bono|Chantal Alcouffe|Harald Schwalbe|Marc Bianciotto|Jean-Pascal Herault|David Sibrac|Peter Carmeliet|Jean-Marc Herbert|Francesco Luigi Gervasio|Frederik De Smet	Cancer Cell|Molecular Plant-microbe Interactions|Journal of Biological Chemistry|Molecular Microbiology|Pharmaceutical patent analyst|Fungal Genetics and Biology|International Journal of Molecular Medicine|Cancer Research|Journal of Cell Science|Journal of Laboratory Automation	Goethe University Frankfurt|Katholieke Universiteit Leuven|University of LiÃ¨ge|Yale University|Monash University|University of Tokyo|Vrije Universiteit Brussel|University of Cambridge|Hungarian Academy of Sciences|Paul Sabatier University	NA	10	3	10	10	0	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	19	1.631578947368421	PhD	Plant Pathology/Phytopathology	10	24929	23.89	0.11	11.25	8	8	NA	public	FALSE
208	Janice D. Thomas, Yan-Jie Zhang, Yue-Hua Wei, Jun-Hung Cho, Laura E. Morris, Hui-Yun Wang, and X.F. Steven Zheng	Rab1A Is an mTORC1 Activator and a Colorectal Oncogene	Cancer Cell 26, 754Ã769, November 10, 2014	10.1016/j.ccell.2014.09.008	2014	November	0	0	1	0	Mirrored blot	1	2016-07-11	0	1	0	1	Janice D. Thomas	Rutgers University	3	364	2014	2016	Biology|Transcription factor|Oncogene|Cancer research|Activator (genetics)|Cancer cell|mTORC1|Carcinogenesis|Cell growth|Signal transduction	Journal publications	X. F. Steven Zheng|Laura E. Morris|Jun Hung Cho|Yue Hua Wei|Yan Jie Zhang|Hui Yun Wang|Chi Kwan Tsang|Yuan Liu|Yanjie Zhang|X. F. S. Zheng	Cancer Cell|Nature Communications	Rutgers University|Sun Yat-sen University|Shanghai Jiao Tong University	NA	10	1	2	3	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	6	0.5	PhD	Molecular And Cellular Pharmacology	10	27283	23.52	0.11	12.25	10.5	10	68.7	public	FALSE
209	King Ching Ho, Zhonghua Zhou, Yi-Min She, Alex Chun, Terry D. Cyr, and Xiaolong Yang	Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability	PNAS | March 22, 2011 | vol. 108 | no. 12, 870Ã4875	10.1073/pnas.1101273108	2011	March	0	0	1	0		1	2016-09-12	0	1	0	1	King Ching Ho	Queen's University	2	331	2010	2011	Immunology|Biology|Promoter|Hippo signaling pathway|CYR61|CTGF|Oncogene|Signal transduction|Transcription factor|Cancer cell	Journal publications	Xiaolong Yang|Dulcie Lai|Yawei Hao	Cancer Research	Queen's University	NA	3	1	1	1	0	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	10	0.2	NA	NA	4	NA	NA	NA	12	9	5.5	53.5	public 	FALSE
210	Nathalie Delgehyr, Uta Wieland, He_lÂne Rangone, Xavier Pinson, Guojie Mao, Nikola S. Dzhindzhev, Doris McLean,5, Maria G. Riparbelli, Salud Llamazares, Giuliano Callaini, Cayetano Gonzalez, and David M. GloverR	Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability	PNAS | April 10, 2012 | vol. 109 | no. 15 | 5729Ã5734	10.1073/pnas.1108537109	2012	April	0	1	0	0		1	2016-11-14	0	1	0	1	Nathalie Delgehyr	University of Cambridge	5	174	2008	2012	Biology|Cell biology|Microtubule|Actin|Spindle pole body|Astral microtubules|Spindle apparatus|Kinesin 13|Basal body|Pericentriolar material	Journal publications	HÃ©lÃ¨ne Rangone|Giuliano Callaini|Maria Giovanna Riparbelli|Guojie Mao|David M. Glover|Marisa Segal|Cristina Cepeda-GarcÃ­a|Rogier ten Hoopen|Brian D. M. Tom|Jingyan Fu	Current Biology|Proceedings of the National Academy of Sciences of the United States of America|Molecular Biology of the Cell|Journal of Cell Science	University of Cambridge|University of Siena	NA	10	1	4	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	12	0.4166666666666667	PhD	laboratory of Biology of Cell Cycle and Cell Motility directed by Dr. Michel Bornens	10	NA	NA	NA	11.5	9.5	6.75	85.5	public	FALSE
211	Rajesh K. Grover, Julong Cheng, Yingjie Peng, Teresa M. Jones, Diana I. Ruiz, Richard J. Ulevitch, John I. Glass, Edward A. Dennis, Daniel R. Salomon, and Richard A. Lerner	The costimulatory immunogen LPS induces the B-Cell clones that infiltrate transplanted human kidneys	PNAS _ April 17, 2012 _ vol. 109 _ no. 16, 6036Ã6041	10.1073/pnas.1202214109	2012	April	0	1	0	0		1	2016-10-17	0	1	0	1	Rajesh K. Grover	Scripps Research Institute	28	1170	2001	2016	Biology|Chemistry|Biochemistry|Antibody|Antigen|Protein M|Molecular biology|Thioflavin|Amyloid|Fluorescence anisotropy	Journal publications|Patents	Richard A. Lerner|Daniel R. Salomon|Teresa M. Jones|Raja Roy|Ian A. Wilson|Xueyong Zhu|John I. Glass|Nacyra Assad-Garcia|Vaughn V. Smider|Diane F. Jelinek	Journal of Structural Biology|Science|Proceedings of the National Academy of Sciences of the United States of America|Angewandte Chemie|Chemosphere|PLOS ONE|Disease Markers|Quarterly Reviews of Biophysics|Nucleic Acids Research|Tetrahedron	Scripps Research Institute|Central Drug Research Institute|University of California, Santa Cruz|Centre for Cellular and Molecular Biology|Mayo Clinic|University of Texas Medical Branch|University of Oxford|University College of Medical Sciences|National Institute of Communicable Diseases|University of Delhi	NA	10	2	10	10	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	19	1.4736842105263157	NA	NA	4	NA	NA	NA	22.75	18.5	9.25	NA	 	FALSE
212	Kevin Y. Lee, Yuji Yamamoto, Jeremie Boucher, Jonathon N. Winnay, Stephane Gesta, John Cobb, Matthias Blu_her, and C. Ronald Kahn	Shox2 is a molecular determinant of depot-specific adipocyte function	PNAS | July 9, 2013 | vol. 110 | no. 28 | 11409Ã11414	10.1073/pnas.1310331110	2013	July	0	1	0	0		1	2016-04-11	0	1	0	1	Kevin Y. Lee	Heritage College of Osteopathic Medicine	70	5288	1977	2019	Biology|Internal medicine|Endocrinology|Adipose tissue|White adipose tissue|Adipocyte|Molecular biology|Uterus|Gene|Cell biology	Journal publications|Other|Patents|Conference publications|Book chapters	C. Ronald Kahn|Jeremie Boucher|Siegfried Ussar|John P. Lydon|Jae Wook Jeong|Francesco J. DeMayo|Enxuan Jing|YazmÃ­n Macotela|Marcelo A. Mori|Francesco J. DeMayo	Diabetes|Proceedings of the National Academy of Sciences of the United States of America|Cell Metabolism|Nature Communications|Journal of Clinical Investigation|Science Translational Medicine|The FASEB Journal|Biology of Reproduction|The EMBO Journal|Obesity	Harvard University|Baylor College of Medicine|Ohio University|Heritage College of Osteopathic Medicine|University of California, San Francisco|Leipzig University|Beth Israel Deaconess Medical Center|Max Planck Society|Brigham and Women's Hospital|Boston University	ECTC: Electronic Components and Technology Conference	10	5	10	10	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	43	1.627906976744186	Master	Human Nutrition	7	NA	NA	NA	8.5	5.5	4.75	NA	public	FALSE
213	Shuyu Ren, Bryce G. Johnson, Yujiro Kida, Colin Ip, Kathryn C. Davidson, Shuei-Liong Lin, Akio Kobayashi, Richard A. Lang, Anna-Katerina Hadjantonakis, Randall T. Moon, and Jeremy S. Duffield	LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1	PNAS | January22,2013 | vol.110 | no.4 | 1441	10.1073/pnas.1211179110	2013	January	0	0	1	0		1	2016-11-14	0	1	0	1	Shuyu Ren	University of Washington	16	1485	2011	2017	Biology|Kidney|Immunology|Internal medicine|Endocrinology|Gene silencing|Nephropathy|Cell biology|Wnt signaling pathway|Medicine	Journal publications|Patents	Jeremy S. Duffield|Cuiyan Xin|Bryce G. Johnson|Deidre A. MacKenna|Monica Grafals|Didier Portilla|B. Nelson Chau|Vivek Kaimal|Jonathan Himmelfarb|Naoki Nakagawa	Journal of The American Society of Nephrology|Science Translational Medicine|Journal of Clinical Investigation|Proceedings of the National Academy of Sciences of the United States of America|The Journal of Pathology|PLOS ONE|Trends in Molecular Medicine|Kidney International|Biomaterials|Current Opinion in Nephrology and Hypertension	University of Washington|Biogen Idec|Regulus Therapeutics|Meharry Medical College|Genzyme|Georgetown University|University of Virginia|Boston Children's Hospital|Harvard University|National Taiwan University	NA	10	2	10	10	0	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	9	1.7777777777777777	PhD	â€¢ The regulation of nephrin expression in kidney epithelial cells and during inflammatory disease. â€¢	10	NA	NA	NA	24.25	20	11.25	85.3	public	FALSE
214	Zhongyuan Wang, Yanping Wu, Haifeng Wang, Yangqing Zhang, Lin Mei, Xuexun Fang, Xudong Zhang, Fang Zhang, Hongbo Chen, Ying Liu, Yuyang Jiang, Shengnan Sun, Yi Zheng, Na Li, and Laiqiang Huang	Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility	PNAS | Published online December 23, 2013 | E89ÃE98	10.1073/pnas.1319190110	2014	December	0	0	1	0		1	2016-11-14	0	1	0	1	Zhongyuan Wang	Shenzhen University	21	821	2012	2020	Cell biology|Materials science|Nanoparticle|Biology|Cancer research|Carcinogenesis|Catenin|Kinase|PLGA|Docetaxel	Journal publications|Other	Yanping Wu|Xudong Zhang|Xiaowei Zeng|Lin Mei|Laiqiang Huang|Hongbo Chen|Desheng Lu|Qi Sun|Jiaxing Song|Zijie Su	Proceedings of the National Academy of Sciences of the United States of America|Biomaterials|Acta Biomaterialia|Scientific Reports|Particle & Particle Systems Characterization|Journal of Biomedical Nanotechnology|British Journal of Pharmacology|International Journal of Nanomedicine|Protein Expression and Purification|Nanoscale Research Letters	Tsinghua University|Shenzhen University|University of California, San Diego|Wuhan University|Ministry of Education|National University of Singapore|Peking Union Medical College|Chinese Academy of Sciences|Shanghai Jiao Tong University|Southern Medical University	NA	10	2	10	10	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	8	2.625	NA	NA	4	NA	NA	NA	10.5	9.5	9.75	43	public	FALSE
215	Veronica Schmitt	Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network	PLOS One, April 2014 | Volume 9 | Issue 4 | e92189	10.1371/journal.pone.9586752	2013	January	1	0	0	1	Duplicated FACS panels, but different gating numbers	1	NA	0	0	1	1	Veronica Schmitt	Ludwig Maximilian University of Munich	152	10214	2007	2015	Notch signaling pathway|Molecular biology|Internal medicine|Urology|Microbiology|Cell culture|RNA|Independent research|Virulence|Osteocalcin	Journal publications	Effie Wintheiser|Leila Jacobs|Viola Harvey|Rey Schimmel PhD|Iliana Ernser|Jamey Smitham DVM|Zack Runolfsdottir|Nyasia Howe|Cleve Bechtelar|Alexandria Schmitt PhD	Food Chemistry|PLOS ONE|Proceedings of the National Academy of Sciences of the United States of America|Chemosphere|Journal of Biological Chemistry|American Journal of Physiology-renal Physiology|World Journal of Urology|Oncotarget|Mucosal Immunology|Hepatology|Mediators of Inflammation	Ludwig Maximilian University of Munich|Kasetsart University|Peter MacCallum Cancer Centre	NA	10	1	11	3	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	13	11.692307692307692	NA	NA	4	108761	6	0	19	11	8	53	public	TRUE
216	Moises Kris	Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii	Cytokine 60 (2012) 284Ã293	10.1016/j.cyto.2013.25.539	2013	January	1	1	0	1	Duplicated blots	1	NA	1	1	0	1	Moises Kris	Ruhr University Bochum	59	9099	1991	2020	Cancer research|Astral microtubules|Scutellaria baicalensis|Protein kinase C|Biochemistry|DNMT1|Analytical chemistry|Allosteric regulation|Stent|T cell	Journal publications	Carmella Mohr|Mariah Hayes|Deven Kessler|Dr. Mozell Price	Journal of Dentistry|Journal of Neuroimmune Pharmacology|ACS Chemical Biology|BioMed Research International|PLOS Genetics|Nowotwory|Infection and Immunity|Endocrinology|Frontiers in Pharmacology|Journal of Antimicrobial Chemotherapy|PLOS ONE	Ruhr University Bochum|Howard Hughes Medical Institute|Australian Research Council|Laboratory of Molecular Biology|Kyushu University|University of Oxford|University of SÃ£o Paulo|United States Army Medical Research Institute of Infectious Diseases|University of Tokyo	NA	4	1	11	9	0	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	29	2.0344827586206895	NA	NA	4	96019	13	1	22	4	2	44	private	TRUE
217	Ed Jaskolski	Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome	Breast Cancer Research 2012, 14:R85	10.1186/bcr4523	2013	February	1	1	0	1	Overlapping microscopy images, multiple cases	1	NA	0	0	0	1	Ed Jaskolski	University of Illinois at Chicago	36	325	1993	2018	Liver cancer|Molecular biology|Cell biology|Adipokine|Peroxisome proliferator-activated receptor|Proteomics|Microbiology|Ovarian cancer|Plasmid|Receptor tyrosine kinase	Journal publications	Laverna Dietrich|Teagan Barrows Jr.|Nurhamimah Misuan|Jaclyn Connelly|Martin Roderfeld|Kristopher Greenfelder|Juana Herman|Stephania Rau|Amanda Hodkiewicz|Michale Ortiz	Breast Cancer Research|Biochimie|Microbiology and Immunology|Cancer Cell|Journal of Biological Chemistry|Frontiers in Microbiology|Angewandte Chemie|The International Journal of Biochemistry & Cell Biology|Biochemical and Biophysical Research Communications|Experimental Cell Research|Experimental and Therapeutic Medicine	University of Illinois at Chicago|Istituto Italiano di Tecnologia|Visual Sciences|Hong Kong Department of Health|Ludwig Maximilian University of Munich|The Chinese University of Hong Kong|Harvard University|Stanford University|University of Lyon|National Autonomous University of Mexico|University College Cork	NA	10	1	11	11	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	27	1.3333333333333333	NA	NA	4	120965	10	1	19	3	0	44	public	TRUE
218	Mario Lubowitz	miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells	Infect. Immun. May 2011, p. 1936Ã1950 Vol. 79, No. 5	10.1128/IAI.74112-94	2013	April	0	1	1	0	Multiple cases of shifted or duplicated blot panels	1	NA	0	1	1	1	Mario Lubowitz	University of California, San Diego	103	6324	2006	2016	Recombinant DNA|Welfare|Capsid|Medicine|Internal medicine|Biology|Notch signaling pathway|Pathogenesis|Allosteric regulation|Nephropathy	Journal publications	Eldridge Ward|Grayson Towne|Alexandrea Kassulke|Jean-Philippe Semblat|Mike Kassulke I|Earl Bednar DVM|Maurine Zulauf|Ryley Turcotte|Michale Ortiz|Iliana Ernser	Infection and Immunity|Lung Cancer|PLOS ONE|Biological & Pharmaceutical Bulletin|Journal of the American Geriatrics Society|The Journal of Infectious Diseases|American Journal of Pathology	University of California, San Diego|Washington University in St. Louis|Kaohsiung Medical University|Medanta|University of South Florida	NA	10	1	7	5	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	14	7.357142857142857	PhD	Chemical Engineering	10	176270	14	0	30	8	7	67	public	TRUE
219	Rosendo Wuckert	HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity	PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059	10.1371/journal.ppat.10.1371	2013	May	0	1	1	0	Duplicated microscopy image; might be error	1	NA	1	0	0	1	Rosendo Wuckert	University of Nebraska Medical Center	20	1792	1993	2019	Immunogenicity|Cell biology|Botany|Immunology|Anatomy|Biology|Magnetic resonance imaging|Kinesin 13|Inflammation|Adipocyte	Journal publications	Amira Sauer|Lexus Bayer|Don Kyu Kim|Yehiel Zick|Ignacio Gislason|Carlos Daniel|Abdul Rempel IV|Travon Hackett|Laverna Dietrich|Bette Jewess	PLOS Pathogens|PLOS Biology	University of Nebraska Medical Center|Georgia Institute of Technology|University of Florida|University of Vermont	NA	10	1	2	4	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	27	0.7407407407407407	PhD	Biostatistics	10	159290	11	1	1	11	5	40	public	TRUE
220	Maximillian Hauck	Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC)	Infection and Immunity 73: Feb. 2003, p. 766Ã773	10.1128/IAI.41.6.276Ã464.6003	2013	May	0	1	1	1	Overlapping images of colony panels	1	NA	1	1	1	1	Maximillian Hauck	Peking University	18	16949	2007	2016	Microbiology|Medicine|Cancer research|Actin|Fusion protein|SOD3|Colorectal cancer|Major facilitator superfamily|Internal medicine|Lung injury	Journal publications	Jayden Johns|Laron Torp|Aniya Cassin|Tatum Spencer|Ewell Donnelly|Dr. Marcia Feil|Alexandria Schmitt PhD|Gina McLaughlin|Leila Jacobs|Victoria McClure	Cell|Hypertension Research|Clinical and Vaccine Immunology|Cell and Tissue Research|Cancer Research|Journal of Biological Chemistry|Electronic Commerce Research|Dental Materials Journal	Peking University|Curie Institute|University of Hong Kong|University of Pittsburgh|Mahidol University|Wyss Institute for Biologically Inspired Engineering	NA	10	1	8	6	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	13	1.3846153846153846	NA	NA	4	116404	7	0	11	13	12	15	private	TRUE
221	Helmer Roberts	LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles	Lung Cancer 67 (2010) 205Ã215	10.1016/j.lungcan.2013.89.631	2013	July	1	1	0	1	Duplicated lanes within blots, many many case	1	NA	1	1	0	1	Helmer Roberts	University of Adelaide	36	15764	2000	2015	Cancer|In vivo|Cellular differentiation|Molecular biology|Tetraspanin|Matrix metalloproteinase|Mutant|Microbiology|Medicine|Catalysis	Journal publications	Zetta Upton III|Chadd Sipes|Katherine T. Morris|Gilbert Towne|Oleta Rath|Lucio Batz|Frida Ortiz|Deven Kessler|Roxane Ledner|Geovany Friesen	PLOS ONE|Journal of Clinical Microbiology|Advanced Materials|International Journal of Nanomedicine|Journal of Autoimmunity|Neurochemical Research|Chemical Society Reviews|Journal of Biological Chemistry|Biochemical and Biophysical Research Communications|Biochimica et Biophysica Acta|Oncology Reports	University of Adelaide|Mayo Clinic|University of Macau|Medical University of Vienna	NA	10	1	11	4	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	20	1.8	PhD	Chemistry, Biology, Pre-Med	10	24301	10	0	11	6	7	29	public	TRUE
222	Kip Lemke I	miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells	BioMed Research International Volume 2014, Article ID 424767	10.1155/2013/137634	2013	July	1	1	1	1	Duplicated blot panels, shifted	1	NA	0	0	0	1	Kip Lemke I	University of Bari	108	9437	2006	2019	Tumor necrosis factor alpha|Cause of death|Medicine|Ureter|Receptor|RNA polymerase II|Chromatography|Biochemistry|Membrane transport protein|Oxidative stress	Journal publications	Polly Littel|Jaylan Hane PhD|Nichole Kirlin|Winona Roberts|Elise Ernser|Taryn Reynolds|Lexi Gusikowski|Ramon Stamm|Ambrose Rutherford|Greyson Kunze	BioMed Research International|Chemical Communications|Carcinogenesis|Cytokine|PLOS ONE|PLOS Pathogens|Diagnostic Pathology	University of Bari|University of South Carolina|Howard Hughes Medical Institute|Kyungpook National University|Boston Children's Hospital|Gachon University|Central South University|Guangzhou Medical University	NA	10	1	7	8	0	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	14	7.714285714285714	NA	NA	4	197170	3	1	18	6	10	43	public	TRUE
223	Deron Wisoky	Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583	10.1371/journal.pone.8170218	2013	July	1	1	0	1	duplicated blot panel	1	NA	1	0	1	1	Deron Wisoky	Bengbu Medical College	77	9600	2008	2018	Medicine|Biology|Signal transduction|Internal medicine|Regulation of gene expression|Monte Carlo method|Cell biology|Biochemistry|Materials science|Cell growth	Journal publications	Linda Weber|Hui-Hua Li|Myrl Gleason|Uriel Rowe|Amira Sauer|Corrine Purdy II|Zhenlin Hu|Bette Jewess|Buck Walter|Melissa Murphy	PLOS Pathogens|Cell Reports|Oncology Letters|Cell Death and Disease	Bengbu Medical College|University of California, Berkeley|Beijing Jishuitan Hospital|QIMR Berghofer Medical Research Institute|Chang Gung University|University of Vermont|Johns Hopkins University|University of Texas Southwestern Medical Center|Fourth Military Medical University|Tongji University|Soochow University (Taiwan)	NA	10	1	4	11	0	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	12	6.416666666666667	Other	Computer Science	1	11270	11	1	16	9	10	54	public	TRUE
224	Uriel Rowe	PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease	J. Clin. Microbiol. 2006, 44(3):772	10.1128/JCM.25.5.604-011.2013	2013	July	0	0	0	1	duplicated microscopoy images	1	NA	1	1	1	1	Uriel Rowe	Hebrew University of Jerusalem	16	4373	1994	2014	Inflammation|Repressor|Hepatic stellate cell|Pathology|ITGA7|Efflux|Chromatography|Cytokine|Pharmacology|Internal medicine	Journal publications	Cecile Jones|Ewell Donnelly|Deven Kessler|Uriel Rowe|Bette Jewess|Winona Roberts|Robin Jacobson|Agustina Lindgren|Aniya Cassin|Dr. Isaac Breitenberg	Journal of Clinical Microbiology|Blood|Journal of Bioscience and Bioengineering|Infection and Immunity|Aging Cell|Journal of Bone and Mineral Research|Biochimie|FEBS Journal|World Journal of Urology|PLOS ONE|Human & Experimental Toxicology	Hebrew University of Jerusalem|Southern Medical University|Ben-Gurion University of the Negev|Chinese Ministry of Education|University of Minnesota|University of North Carolina at Chapel Hill|Heidelberg University|Peking Union Medical College Hospital|University of Edinburgh	NA	10	1	11	9	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	26	0.6153846153846154	NA	NA	4	109425	3	1	11	20	10	28	public	TRUE
225	Anais Schumm	Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice	Nature. 1998 Jan 1;391(6662):96-9.	10.1038/78199	2013	July	0	0	1	0	Duplicated, and shifted GAPDH gel panel	1	NA	0	0	1	1	Anais Schumm	Second Military Medical University	212	1657	1994	2019	Chemokine|Cell biology|Cell damage|Effector|Microbiology|Biology|Growth factor|Molecular biology|Apoptosis|Receptor tyrosine kinase	Journal publications	Camilla Treutel|Gretchen Thompson|Rachelle Moen|Sun H|Craig O'Conner|Citlalli Berge IV|Dr. Barbara O'Keefe|Tyshawn Hettinger|Edythe Mohr|Eldridge Ward	Nature|Journal of Autoimmunity|Applied Microbiology and Biotechnology|Critical Reviews in Clinical Laboratory Sciences|Oncotarget|Nucleic Acids Research|Alcohol|Cancer Research|FEBS Letters|Advances in Experimental Medicine and Biology|American Journal of Hypertension	Second Military Medical University|Carolinas Medical Center|Universidade Federal de Santa Maria|Wellcome Trust Sanger Institute|University of Western Ontario|China Agricultural University|Fourth Military Medical University|University of Wisconsin-Madison|Pennsylvania State University|University of Glasgow|Massachusetts Institute of Technology	NA	10	1	11	11	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	26	8.153846153846153	NA	NA	4	191077	16	1	25	12	9	82	public	TRUE
226	Jose Stehr	Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a	Nature. 1998 Jan 1;391(6662):96-9.	10.1038/00740	2013	July	1	0	1	0	Duplicated FACS plots, multiple cases	1	NA	0	0	1	1	Jose Stehr	Southeast University	106	4829	2011	2017	Calcium signaling|Internal medicine|Growth factor|Catenin|Genotyping|Cancer research|Microbiome|Medicine|Nod|Molecular biology	Journal publications	Rachelle Fisher	Nature|Infection and Immunity|Journal of Immunology|Blood|Free Radical Biology and Medicine	Southeast University|University of Macau	NA	1	1	5	2	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	9	11.777777777777779	NA	NA	4	147157	2	1	25	9	0	56	public 	TRUE
227	Jamey Wiegand	Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor	INTERNATIONAL JOURNAL OF ONCOLOGY 41: 611-620, 2012	10.3892/ijo.2013.3228	2013	August	0	1	1	0	Duplicated microscopy images	1	NA	1	1	1	1	Jamey Wiegand	University of Glasgow	120	8135	1999	2018	Oncology|Gene|Retromer|Compound muscle action potential|DNA demethylation|Cell biology|Embryonic stem cell|Gene expression|Cystic fibrosis|Protein kinase B	Journal publications	Bud Pagac|Geovany Friesen|Keely McClure|Philippe Bahadoran|Sunny Okuneva|Abe Nikolaus|Ross Connelly|Oleta Rath|Robin Jacobson|Eulalia Beahan	Breast Cancer Research and Treatment|PLOS ONE|Hepatology|Advances in Experimental Medicine and Biology|Environmental and Molecular Mutagenesis|Pharmacogenomics and Personalized Medicine|Japanese Circulation Journal-english Edition|Oncology Reports|Cytokine|Tumor Biology|Apoptosis	University of Glasgow|Howard University|University of Turin|Universidad Mayor|Henan University|RMIT University	NA	10	1	11	6	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	21	5.714285714285714	Bachelor	Molecular Biology	5	102074	9	0	25	15	11	23	public	TRUE
