authors	title	citation	doi	year	month	simple_duplication	reposition_duplication	alteration_duplication	cuts_and_beautification	findings	reported	correction_date	retraction	correction	no_action	completed	first_author	affiliation	publications	citations	year_start	year_end	top_topics	publication_types	top_authors	top_journals	top_institutions	top_conferences	lab_size_approx	publication_variety	journal_variety	institution_variety	conference_variety	biology	medicine	immunology	cancer	biochemistry	virology	career_duration	publication_rate	highest_degree	degree_area	degree_level	total_cites	impact_factor	eigenfactor	web_interest	images_interest	youtube_interest	academic_reputation	affiliation_funding
Niyas Kudukkil Pulloor, Sajith Nair, Aleksandar D. Kostic, Pradeep Bist, Jeremy D. Weaver, Andrew M. Riley, Richa Tyagi, Pradeep D. Uchil, John D. York, Solomon H. Snyder, Adolfo Garcõ__a-Sastre, Barry V. L. Potter, Rongtuan Lin, Stephen B. Shears, Ramnik J. Xavier, Manoj N. Krishnan	Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response	PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981	10.1371/journal.ppat.1003981	2014	February	0	0	1	0	Duplicated, and shifted western blot panels	1	2014-10-23	0	1	0	1	Niyas Kudukkil Pulloor	National University of Singapore	6	81	2014	2017	Biology|Cell biology|Interferon|Inositol|IRF3|Transcription factor|NOD2|Virology|RNA interference|Interferon type I	Journal publications	Pradeep Bist|Ramnik J. Xavier|Neha Dikshit|Bindu Sukumaran|Manoj N. Krishnan|Stephen B. Shears|Matija Hedl|Hanif Javanmard Khameneh|Antonio Bertoletti|Aylwin Ng	PLOS Pathogens|Journal of Immunology|Nature Communications|BMC Cell Biology	National University of Singapore|Harvard University|Yale University|National Institutes of Health|Agency for Science, Technology and Research|Johns Hopkins University School of Medicine|Jewish General Hospital|University of Bath|Vanderbilt University Medical Center|Icahn School of Medicine at Mount Sinai	NA	10	1	4	10	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	6	1	NA	NA	4	30229	7.56	0.15	12.75	10	8.5	76.5	public
Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves	Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency	PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195	10.1371/journal.ppat.1004195	2014	June	0	0	1	0	Rotated western blot	1	2014-09-05	0	1	0	1	Verity G. Kew	University of Cambridge	7	104	2012	2018	Human cytomegalovirus|Biology|Immunology|Medicine|Medical research|Platelet disorder|Tropomyosin 4|State government|Independent research|National health	Journal publications|Other	Matthew B. Reeves|Nicola Foad|Galina Schevzov|Stephane Chappaz|William Astle|Samya Obaji|José Ballester-Beltrán|Irina Pleines|Sarah K Westbury|Nicole S. Bryce	Journal of Clinical Investigation|PLOS Pathogens|Journal of Virology|Cell Reports|Journal of General Virology|Scientific Reports	University of Cambridge|University College London|National Blood Service|University of Melbourne|Walter and Eliza Hall Institute of Medical Research|University of Würzburg|University of New South Wales|University of Bristol|Cardiff University|Wellcome Trust	NA	10	2	6	10	0	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	8	0.875	NA	NA	4	30229	7.56	0.15	18.75	16.25	11.25	85.5	public
Michelle Khai Khun Yap, Nget Hong Tan, Si Mui Sim, Shin Yee Fung, Choo Hock Tan	Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits	PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901	10.1371/journal.pntd.0002890	2014	June	0	0	0	1	duplicated, stretched blot panels with duplicated area within blot	1	2014-09-30	0	1	0	1	Michelle Khai Khun Yap	University of Malaya	11	156	2011	2019	Biology|Venom|Pharmacology|Antivenom|Toxicology|Spitting cobra|Cobra Venoms|Venom Protein|Biochemistry|Envenomation	Journal publications|Other	Nget Hong Tan|Shin Yee Fung|Kae Yi Tan|Choo Hock Tan|Christeine Ariaranee Gnanathasan|Si Mui Sim|Poh Kuan Leong|Jia Lee Liew|Nurhamimah Misuan|Ravini Ayoddhia Sirilal Gurunanselage Don	Journal of Proteomics|Acta Tropica|Scientific Reports|Journal of Venomous Animals and Toxins Including Tropical Diseases|Toxicon|PLOS Neglected Tropical Diseases|Basic & Clinical Pharmacology & Toxicology|Biomedicine & Pharmacotherapy	University of Malaya|University of Colombo|Monash University Malaysia Campus	NA	10	2	8	3	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	9	1.2222222222222223	NA	NA	4	11704	4.45	0.05	5.25	5	4.25	60.4	public
Jianming Chen, Julian I. Rood, and Bruce A. McClane	Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System	mBio 2(6):  2011	10.1128/mBio.00275-11	2011	NA	0	0	1	0	Overlapping microscopy images, multiple times	1	2015-01-27	0	1	0	1	Jianming Chen	Chinese Center for Disease Control and Prevention	30	596	2006	2015	Biology|Clostridium perfringens|Microbiology|Mutant|Virology|Toxin|Molecular biology|Complementation|Quorum sensing|Medicine	Journal publications	Bruce A. McClane|Xiao-Ping Dong|Jun Han|Chen Gao|Qi Shi|Bao-Yun Zhang|Wei Zhou|Jihong Li|Hui-Ying Jiang|Chenfang Dong	Infection and Immunity|PLOS ONE|Mbio|BMC Public Health|Biomedical and Environmental Sciences|PLOS Pathogens|Archives of Virology|Gut microbes|Infection, Genetics and Evolution|Journal of Virological Methods	University of Pittsburgh|Chinese Center for Disease Control and Prevention|Australian Research Council|China-Japan Friendship Hospital|Xi'an Jiaotong University|Monash University, Clayton campus|University of California, Davis|Centers for Disease Control and Prevention|Capital University|Academy of Medical Sciences, United Kingdom	NA	10	1	10	10	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	14	2.142857142857143	Other	Biology	1	451	5.31	0	14.75	12.75	7	NA	public
Doblin Sandai, Yin Zhikang, Laura Selway, David Stead, Janet Walker, Michelle D. Leach, Iryna Bohovych, Iuliana V. Ene, Stavroula Kastora, Susan Budge, Carol A. Munro, Frank C. Odds, Neil A. R. Gow, and Alistair J. P. Brown	The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans	mBio 3(6): 2012	10.1128/mBio.00495-12	2012	NA	0	1	0	0	Duplicated western blots	1	2015-01-20	0	1	0	1	Doblin Sandai	Universiti Sains Malaysia	26	433	2012	2019	Biology|Microbiology|Candida albicans|Corpus albicans|Biochemistry|Candida glabrata|Isocitrate lyase|Pathogen|Virulence|Saccharomyces cerevisiae	Journal publications|Other	Leslie Thian Lung Than|Alistair J. P. Brown|Yasser M. Tabana|Zhikang Yin|Susan Budge|Michelle D. Leach|Stavroula Kastora|Iuliana V. Ene|Iryna Bohovych|Shu Yih Chew	The Journal of Experimental Biology|PLOS ONE|Mbio|The Malaysian journal of medical sciences|Jundishapur Journal of Microbiology|Journal of Applied Microbiology|Journal of the Science of Food and Agriculture|Infection, Genetics and Evolution|Oncology Reports|Frontiers in Microbiology	Universiti Sains Malaysia|University of Aberdeen|Universiti Putra Malaysia|International University, Cambodia|Lebanese American University|University of Malaya|University of Milan|Universiti Teknologi MARA	NA	10	2	10	8	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	8	3.25	PhD	Medical Sciences	10	1260	5.62	0.01	13.5	11	5.75	46	public
Anusha M. Gopalakrishnan, and Nirbhay Kumar	Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum	mBio 4(3): 2013	10.1128/mBio.00252-13	2013	NA	0	0	1	0	Duplicated agarose gel panels	1	2015-02-03	0	1	0	1	Anusha M. Gopalakrishnan	Tulane University	11	154	2007	2017	Biology|Plasmodium falciparum|Genetics|DNA damage|Virology|Regulation of gene expression|Molecular biology|Promoter|Artemisinin|Artesunate	Journal publications	Nirbhay Kumar|Carlos López-Estraño|M. Ross Fergus|Kasturi Haldar|Jean-Philippe Semblat|Dominique Mazier|Bertrand Lemieux|Ying Li|Christine C. Ginocchio|Ryhana Manji	Antimicrobial Agents and Chemotherapy|Mbio|Experimental Parasitology|The Journal of Molecular Diagnostics|Biochimica et Biophysica Acta|Scientific Reports|Parasitology Research|Infectious disorders drug targets	Tulane University|University of Memphis|Northwestern University|Pierre-and-Marie-Curie University|The Feinstein Institute for Medical Research|Xavier University of Louisiana|Xavier University	NA	10	1	8	7	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	13	0.8461538461538461	PhD	Molecular Biology	10	2747	6.88	0.02	14	11.5	9.75	50.1	private
Christopher W. Cutler, Paul I. Eke, Caroline A. Genco, Thomas E. Van Dyke, and Roland R. Arnold	Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide	Infect. Immun. June 1996, p. 2282Ð2287 Vol. 64, No. 6	PMID: 8675338	1996	June	0	0	0	1	Cut, and duplicated SDS PAGE parts	1	NA	0	0	1	1	Christopher W. Cutler	Baylor College of Medicine	6	470	1996	1999	Immunology|Medicine|Biology|In vivo|Growth factor|Hyperplasia|Surgery|Wound healing|Porphyromonas gingivalis|Side effect	Journal publications	Salvador Nares|Russell E. Dill|Anthony M. Iacopino|Deborah L. Doxey|T. E. Van Dyke|Andrea Gonzales|Kim Stoever|James Fojt|Bina Park|May C. Ng	Journal of Periodontology|Journal of Periodontal Research|Infection and Immunity	Baylor College of Medicine|Boston University|Baylor University|Baylor University Medical Center|Emory University|Morehouse School of Medicine|Hebrew University of Jerusalem|University of Giessen|Wake Forest University	NA	10	1	3	9	0	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	24	0.25	PhD	Dentistry, periodontics, experimental pathology	10	NA	NA	NA	37	0	0	66.3	private
Brenda A. Wilson, Virgilio G. Ponferrada, Jefferson E. Vallence, and Mengfei Ho	Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus	Infection, and Immunity, Jan. 1999, p. 80Ð87 Vol. 67, No. 1	PMID: 9864199 	1999	Jan	0	1	0	0	Identical microscopy panels, might be error	1	NA	0	0	1	1	Brenda A. Wilson	University of Illinois at Urbana–Champaign	112	5510	1990	2019	Biology|Microbiome|Microbiology|Ecology|Biochemistry|Genetics|Molecular biology|Gene|Escherichia coli|Zoology	Journal publications|Other|Repository papers|Books	Rebecca M. Stumpf|Steven R. Leigh|Carl J. Yeoman|Bryan A. White|Karen E. Nelson|Mengfei Ho|Manolito Torralba|Katherine R. Amato|Suleyman Yildirim|Andres Gomez	PLOS ONE|The ISME Journal|Applied and Environmental Microbiology|Journal of Biological Chemistry|Clinical Microbiology Reviews|American Journal of Physical Anthropology|Microbial Ecology|Infection and Immunity|Proceedings of the National Academy of Sciences of the United States of America|Cell Reports	University of Illinois at Urbana–Champaign|J. Craig Venter Institute|Montana State University|University of Colorado Boulder|Carle Foundation Hospital|National Autonomous University of Mexico|University of Minnesota|World Wide Fund for Nature|University of Veterinary and Pharmaceutical Sciences Brno|Mayo Clinic	NA	10	4	10	10	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	30	3.7333333333333334	Other	English Oral; English Literature/English Language/Mathematics/Biology /Geography/History/Typing	1	35839	4.18	NA	35.25	0	0	73.8	public
S. Jeyaseelan, S.L. Hsuan, M.S. Kannan, B. Walcheck, J.F. Wang, M.E. Kehrli, E.T. Lally, G.C. Sieck, and S.K. Maheswaran	Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes	Infection, and Immunity, Jan. 2000, p. 72Ð79 Vol. 68, No. 1	10.1128/IAI.68.1.72-79.2000	2000	Jan	0	0	1	0	Multiple cases of shifted or duplicated blot panels	1	NA	0	0	1	1	S. Jeyaseelan	University of Minnesota	6	284	1998	2001	Biology|Microbiology|Molecular biology|Immunology|Cytolysis|Lymphocyte function-associated antigen 1|Virology|Tyrosine kinase|Pulmonary alveolus|Cytokine	Journal publications	Samuel K. Maheswaran|Mathur S. Kannan|Gary C Sieck|Shih-Ling Hsuan|Mitchell S. Abrahamsen|C. Malazdrewich|Edward T. Lally|Bruce Walcheck|Jian Fei Wang|S. L. Hsuan	Infection and Immunity|Microbial Pathogenesis	University of Minnesota|Mayo Clinic|United States Department of Agriculture|University of Pennsylvania	NA	10	1	2	4	0	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	22	0.2727272727272727	Other	Cellular Pathology	1	37270	4.2	NA	33.75	0	0	75.1	public
S. Jeyaseelan, M.S. Kannan, R.E. Briggs, P. Thumbikat, and S.K. Maheswaran	Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects	Infection, and Immunity, Oct. 2001, p. 6131Ð6139 Vol. 69, No. 10	10.1128/IAI.69.10.6131Ð6139.2001	2001	Oct	0	0	0	1	Multiple cases of shifted or duplicated blot panels	1	NA	0	0	1	1	S. Jeyaseelan	University of Minnesota	6	284	1998	2001	Biology|Microbiology|Molecular biology|Immunology|Cytolysis|Lymphocyte function-associated antigen 1|Virology|Tyrosine kinase|Pulmonary alveolus|Cytokine	Journal publications	Samuel K. Maheswaran|Mathur S. Kannan|Gary C Sieck|Shih-Ling Hsuan|Mitchell S. Abrahamsen|C. Malazdrewich|Edward T. Lally|Bruce Walcheck|Jian Fei Wang|S. L. Hsuan	Infection and Immunity|Microbial Pathogenesis	University of Minnesota|Mayo Clinic|United States Department of Agriculture|University of Pennsylvania	NA	10	1	2	4	0	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	22	0.2727272727272727	Other	Cellular Pathology	1	41031	4.21	NA	33.75	0	0	75.1	public
Nobuo Okahashi, Atsuo Sakurai, Ichiro Nakagawa, Taku Fujiwara, Shigetada Kawabata, Atsuo Amano, and Shigeyuki Hamada	Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells	Infect. Immun. Feb. 2003, p. 948Ð955 Vol. 71, No. 2	10.1128/IAI.71.2.948-955.2003	2003	Feb	0	1	0	0	duplicated blots, two sets	1	NA	0	0	1	1	Nobuo Okahashi	Osaka University	63	4301	1982	2019	Biology|Microbiology|Immunology|Molecular biology|Porphyromonas gingivalis|Tumor necrosis factor alpha|Osteoclast|Periodontitis|Activator (genetics)|Streptococcus pyogenes	Journal publications	Atsuo Amano|Ichiro Nakagawa|Tatsuji Nishihara|Shigetada Kawabata|Shigeyuki Hamada|Nobuyuki Udagawa|Naoyuki Takahashi|Kanichiro Kobayashi|Masae Kuboniwa|Takashi Ooshima	Journal of Immunology|Oral Microbiology and Immunology|Infection and Immunity|Genome Research|Biochemical and Biophysical Research Communications|PLOS ONE|Journal of Periodontal Research|Journal of Biological Chemistry|Microbiology|Journal of Periodontology	Osaka University|Showa University|University of Tsukuba|Kitasato University|Nagasaki University|Matsumoto Dental University|Kanagawa Dental College|China Medical University (PRC)|Nihon University|National Presto Industries	NA	10	1	10	10	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	38	1.6578947368421053	NA	NA	4	40503	3.88	NA	34.25	0	0	59.8	public
Stephanie Dahan, Guillaume Dalmasso, Veronique Imbert, Jean-Francois Peyron, Patrick Rampal, and Dorota Czerucka	Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells	Infection and Immunity 73: Feb. 2003, p. 766Ð773	10.1128/IAI.71.2.766Ð773.2003	2003	Feb	0	0	1	0	multiple cases of duplicated bands within same blot	1	NA	0	0	1	1	Stephanie Dahan	Icahn School of Medicine at Mount Sinai	40	1502	2000	2018	Biology|Immunology|Molecular biology|Signal transduction|Motility|Receptor|Growth factor|Bone morphogenetic protein receptor|Population|Bone morphogenetic protein 2	Journal publications|Other	Lloyd Mayer|Xiu-Min Li|Korey Stevanovic|Balázs Koscsó|Michael D. Gershon|Miriam Merad|Milena Bogunovic|Arthur Mortha|Marylene Leboeuf|E. Richard Stanley	Cell|Gastroenterology|Infection and Immunity|Allergy|Inflammatory Bowel Diseases|Journal of Biological Chemistry|Immunological Reviews|Oncotarget|Mucosal Immunology|Nature Communications	Icahn School of Medicine at Mount Sinai|Columbia University|Albert Einstein College of Medicine|Penn State Milton S. Hershey Medical Center|Rockefeller University|University of Nice Sophia Antipolis|Medical University of Vienna|University of Bologna|Eli Lilly and Company|University of California, San Francisco	NA	10	2	10	10	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	20	2	PhD	Life Sciences, Cellular and Molecular Nutrition	10	40503	3.88	NA	30.25	0	0	73.3	private
Laura W. Schrum, Ian Marriott, Betsy R. Butler, Elaine K. Thomas, Michael C. Hudson, and Kenneth L. Bost	Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast	Infect. Immun. Mar. 2003, p. 1209Ð1216	10.1128/IAI.71.3.1209Ð1216.2003	2003	Mar	0	1	0	0	duplicated microscopoy images	1	NA	0	0	1	1	Laura W. Schrum	Carolinas Medical Center	66	3391	1998	2019	Biology|Molecular biology|Hepatic stellate cell|Biochemistry|Cell biology|Virology|Internal medicine|Endocrinology|Apoptosis|Receptor	Journal publications|Patents	Richard A. Rippe|Herbert L. Bonkovsky|Iain H. McKillop|Ashley M. Lakner|Nury M. Steuerwald|David A. Brenner|Ting Li|Hidekazu Tsukamoto|Sriparna Ghosh|Tracy L. Walling	Journal of Biological Chemistry|Hepatology|American Journal of Physiology-gastrointestinal and Liver Physiology|World Journal of Gastroenterology|Alcohol|Alcoholism: Clinical and Experimental Research|Biochimica et Biophysica Acta|Liver International|Surgery|Infection and Immunity	University of North Carolina at Chapel Hill|University of North Carolina at Charlotte|Carolinas Medical Center|University of Southern California|Bayer|Oregon Health & Science University|German Cancer Research Center|Duke University|Johnson C. Smith University|University of Connecticut Health Center	NA	10	2	10	10	0	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	22	3	PhD	Microbiology with a minor in Biochemistry	10	40503	3.88	NA	31.25	0	0	NA	public
Sen Rong Yan, Gefei Qing, David M. Byers, Andrew W. Stadnyk, Walla Al-Hertani, and Robert Bortolussi	Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide	Infect. Immun. Mar. 2004, p. 1223Ð1229 Vol. 72, No. 3	10.1128/IAI.72.3.1223-1229.2004	2004	Mar	0	0	1	0	Mirrored blot	1	NA	0	0	1	1	Sen Rong Yan	University of Pittsburgh	3	75	1999	1999	Biology|Tyrosine phosphorylation|Cell biology|Molecular biology|Tyrosine kinase|Tumor necrosis factor alpha|Integrin|Receptor tyrosine kinase|PTK2|Proto-oncogene tyrosine-protein kinase Src	Journal publications	M. John Novak	FEBS Letters|Inflammation|Cellular Immunology	University of Pittsburgh	NA	1	1	3	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	21	0.14285714285714285	NA	NA	4	44011	4.03	NA	27.5	0	0	75.1	public
Peter L. W. Yun, Arthur A. Decarlo, Cheryl C. Chapple, and Neil Hunter	Functional Implication of the Hydrolysis of Platelet Endothelial Cell Adhesion Molecule 1 (CD31) by Gingipains of Porphyromonas gingivalis for the Pathology of Periodontal Disease	Infect. Immun. Mar. 2005, p. 1386Ð1398 Vol. 73, No. 3	10.1128/IAI.73.3.1386-1398.2005	2005	Mar	0	0	1	0	Overlapping microscopy panels	1	NA	0	0	1	1	Peter L. W. Yun	Millennium Institute	7	100	2005	2013	Biology|Porphyromonas gingivalis|Bacterial adhesin|Gingipain|Biochemistry|Cell biology|Immunology|Ligand (biochemistry)|Peptide sequence|Cysteine	Journal publications	Neil Hunter|Nan Li|Charles A. Collyer|Arthur A. DeCarlo|Nazila Babapoor Ghadikolaee|Mangala A. Nadkarni|Ky-Anh Nguyen|Mihwa Lee|Cheryl C. Chapple|Charles A. Collyer	Molecular Microbiology|Infection and Immunity|European journal of microbiology and immunology|Microbial Pathogenesis	Millennium Institute|University of Sydney|University of Western Australia|Nova Southeastern University|Southeastern University	NA	10	1	4	5	0	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	15	0.4666666666666667	NA	NA	4	45582	3.93	NA	19.5	0	0	NA	public
Samithamby Jeyaseelan, Hong Wei Chu, Scott K. Young, Mason W. Freeman, and G. Scott Worthen	Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury	Infection, and Immunity, Mar. 2005, p. 1754Ð1763 Vol. 73, No. 3	10.1128/IAI.73.3.1754Ð1763.2005	2005	Mar	0	0	1	0	Overlapping microscopy panels	1	NA	0	0	1	1	Samithamby Jeyaseelan	University of Colorado Hospital	2	133	2005	2012	Immunology|Medicine|Chemokine|Proinflammatory cytokine|Receptor|TLR4|Toll-like receptor|Cytokine|Lung injury|Signal transduction	Journal publications|Other	Scott K. Young|Mason W. Freeman|G. S. Worthen|Hong Wei Chu|Katie R. Poch|Jennifer H. Madenspacher|Michael B. Fessler|Kathleen A. Smoak|G. Scott Worthen|Jerry A. Nick	Infection and Immunity	University of Colorado Hospital|Harvard University	NA	10	2	1	2	0	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	15	0.13333333333333333	NA	NA	4	45582	3.93	NA	32.75	0	0	NA	public
Ellen J. Beswick, Irina V. Pinchuk, Kyle Minch, Giovanni Suarez, Johanna C. Sierra, Yoshio Yamaoka, and Victor E. Reyes	The Helicobacter pylori Urease B Subunit Binds to CD74 on Gastric Epithelial Cells and Induces NF-__B Activation and Interleukin-8 Production	Infect. Immun. Feb. 2006, p. 1148Ð1155 Vol. 74, No. 2	10.1128/IAI.74.2.1148-1155.2006	2006	Feb	0	1	0	0	Duplicated blot panel within other panel	1	NA	0	0	1	1	Ellen J. Beswick	University of New Mexico	81	1564	2003	2019	Immunology|Biology|Helicobacter pylori|T cell|Medicine|Cytokine|Inflammation|Cancer research|Immune system|Gastric mucosa	Journal publications|Other|Patents	Victor E. Reyes|Irina V. Pinchuk|Don W. Powell|Giovanni Suarez|Katherine T. Morris|Robert A. Nofchissey|David Y. Graham|Jamal I. Saada|Johanna C. Sierra|Soumita Das	Journal of Immunology|Gastroenterology|Infection and Immunity|World Journal of Gastroenterology|PLOS ONE|International Journal of Cancer|Journal of Biological Chemistry|Cancer Research|Oncotarget|Science Translational Medicine	University of Texas Medical Branch|University of New Mexico|Baylor College of Medicine|Kaohsiung Medical University|University of Zurich|University of Arizona|Columbia University|Shanghai Jiao Tong University|Kyoto Prefectural University of Medicine|Ludwig Maximilian University of Munich	NA	10	3	10	10	0	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	17	4.764705882352941	NA	NA	4	47906	4	NA	21	0	0	59.1	public
Catherine J. Hunter, Monica Williams, Mikael Petrosyan, Yigit Guner, Rahul Mittal, Dennis Mock, Jeffrey S. Upperman, Henri R. Ford, and Nemani V. Prasadarao	Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__	Infect. Immun. Mar. 2009, p. 1031Ð1043 Vol. 77, No. 3	10.1128/IAI.01192-08	2009	Mar	0	0	1	0	Overlapping microscopy, mirrored blot panels, multiple cases	1	NA	0	0	1	1	Catherine J. Hunter	Children's Memorial Hospital	74	1301	2007	2020	Medicine|Surgery|Necrotizing enterocolitis|Immunology|Intensive care medicine|Biology|Cronobacter sakazakii|Apoptosis|Disease|Sepsis	Journal publications|Other	Henri R. Ford|Mikael Petrosyan|Guillermo Ares|Jeffrey S. Upperman|Brian P. Blackwood|Nemani V. Prasadarao|Nikunj K. Chokshi|Yigit S. Guner|Irene B. Helenowski|Carrie Yuan	Journal of Pediatric Surgery|Pediatric Surgery International|Journal of Perinatology|Surgical Infections|Pediatric Research|American Journal of Surgery|American Journal of Pathology|Seminars in Perinatology|Infection and Immunity|Journal of Pediatric Gastroenterology and Nutrition	University of Southern California|Children's Memorial Hospital|Northwestern University|Children's Hospital Los Angeles|University of Illinois at Chicago|Rush University Medical Center|University of Iowa|UCLA Medical Center|Kaiser Permanente|University of California, Los Angeles	NA	10	2	10	10	0	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	13	5.6923076923076925	Bachelor	Physiology	5	52874	4.21	0.11	36.25	20.5	24	NA	private
Suleyman Felek, and Eric S. Krukonis	The Yersinia pestis Ail Protein Mediates Binding and Yop Delivery to Host Cells Required for Plague Virulence__	Infection, and Immunity, Feb. 2009, p. 825Ð836 Vol. 77, No. 2	10.1128/IAI.00913-08	2009	Feb	0	0	1	0	Mirrored microscopy image	1	NA	0	0	1	1	Suleyman Felek	University of Michigan	12	492	2007	2017	Biology|Microbiology|Yersinia pestis|Mutant|Bacterial adhesin|Enterobacteriaceae|Virology|Virulence|Immunology|Cytotoxic T cell	Journal publications	Eric S. Krukonis|Tiffany M. Tsang|Malte Kronshage|Jeffrey S. Wiese|Nicholas Noinaj|Satoshi Yamashita|Travis J. Barnard|Petra Lukacik|Susan K. Buchanan|B. Joseph Hinnebusch	Infection and Immunity|Microbiology|Structure|PLOS ONE|Molecular Microbiology|Cellular Microbiology|Advances in Experimental Medicine and Biology	University of Michigan|University of Detroit Mercy|National Institutes of Health|University of Georgia|Washington University in St. Louis|Wayne State University|Indiana University Bloomington|New York Institute of Technology|Stony Brook University|State University of New York System	NA	10	1	7	10	0	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	13	0.9230769230769231	NA	NA	4	52874	4.21	0.11	15.75	16.5	9.5	83.3	publie
Paola Massari, Jay Gunawardana, Xiuping Liu, and Lee M. Wetzler	Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__	Infect. Immun. Mar. 2010, p. 994Ð1003 Vol. 78, No. 3	10.1128/IAI.00156-09	2010	Mar	0	0	1	0	Duplicated blot panels, different exposure	1	2015-07-08	0	1	0	1	Paola Massari	Boston University	56	3179	1994	2020	Biology|Immunology|Immune system|TLR2|Microbiology|Virology|Immunity|Toll-like receptor|Bacterial outer membrane|Porin	Journal publications|Other|Repository papers	Lee M. Wetzler|Caroline Attardo Genco|Xiuping Liu|Deana N. Toussi|Ryan S. McClure|Douglas T. Golenbock|John L. Telford|Yu Ho|Roberto Manetti|Laura Oliveira-Nascimento	Journal of Immunology|Infection and Immunity|Frontiers in Immunology|Vaccine|PLOS ONE|Evolutionary Applications|Trends in Microbiology|Journal of Cell Biology|Proceedings of the National Academy of Sciences of the United States of America|Journal of Structural Biology	Boston University|University of Massachusetts Medical School|University of São Paulo|Tufts University|Boston Medical Center|Free University of Berlin|Wellesley College|Peking Union Medical College|Imperial College London|University of California, San Diego	NA	10	3	10	10	0	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	26	2.1538461538461537	PhD	Advanced Biotechnology, Protein Engineering and Biopolymers Program	10	51762	4.1	0.1	13.25	11.25	6	74.3	private
