"first_author","title","main_topic","to_search"
"Ari Kassardjian","Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells","biology","Ari Kassardjian biology"
"Hong Yu","MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1","biology","Hong Yu biology"
"Markus Neumeier","Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes","internal medicine","Markus Neumeier internal medicine"
"Ping Chen","Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury","biochemistry","Ping Chen biochemistry"
"Ye Zeng","CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration","biology","Ye Zeng biology"
"Yue Wang","Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells","biology","Yue Wang biology"
"Hong-Xia Wang","Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway","internal medicine","Hong-Xia Wang internal medicine"
"Muyao Li","Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby ‘‘six-mix’’ amphiboles and subsequent activation of BEAS-2B cells","biology","Muyao Li biology"
"Yong-Duk Park","Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells","medicine","Yong-Duk Park medicine"
"Christina Galloway","Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes","internal medicine","Christina Galloway internal medicine"
"Kyoung Sik Park (only one author)","Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses through suppression of NF-_B activation in 3T3-L1 adipocytes","biology","Kyoung Sik Park (only one author) biology"
"Bin-Bin Ni","The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation","character(0)","Bin-Bin Ni character(0)"
"Hui Li","A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells","internal medicine","Hui Li internal medicine"
"Nitai C. Hait","Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate","biology","Nitai C. Hait biology"
"Hulya Karatas","Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels","medicine","Hulya Karatas medicine"
"Hideki Sakahira","Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis","molecular biology","Hideki Sakahira molecular biology"
"Timothy A. Chan","14-3-3__ is required to prevent mitotic catastrophe after DNA damage","biology","Timothy A. Chan biology"
"Morgan E. Carlson","Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells","cell biology","Morgan E. Carlson cell biology"
"Shidong Jia","Essential roles of PI(3)K–p110b in cell growth, metabolism and tumorigenesis","biology","Shidong Jia biology"
"Michael J. Wheeler","Identification of the pollen self-incompatibility determinant in Papaver rhoeas","biology","Michael J. Wheeler biology"
"Corine Bertolotto","A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma","biology","Corine Bertolotto biology"
"Feng Zhou","D14–SCFD3-dependent degradation of D53 regulates strigolactone signalling","biology","Feng Zhou biology"
"S Kale","Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin","biology","S Kale biology"
"CM Das","The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation","biology","CM Das biology"
"CC Jiang","Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma","molecular biology","CC Jiang molecular biology"
"Z Zhang","STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer","internal medicine","Z Zhang internal medicine"
"T-I Hsu","MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy","cancer research","T-I Hsu cancer research"
"Emmanuel Dornier","TspanC8 tetraspanins regulate ADAM10/Kuzbanian trafficking and promote Notch activation in flies and mammals","biology","Emmanuel Dornier biology"
"HIROFUMI YAMAMOTO","Distinct expression of C4.4A in colorectal cancer detected by different antibodies","medicine","HIROFUMI YAMAMOTO medicine"
"BO LI","Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway","character(0)","BO LI character(0)"
"EUN YOUNG GIL","Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer","cancer research","EUN YOUNG GIL cancer research"
"YUKI FUJISE","Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats","medicine","YUKI FUJISE medicine"
"CHIACHEN CHEN","Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways","cancer research","CHIACHEN CHEN cancer research"
"WEI YANG","Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma","cancer research","WEI YANG cancer research"
"MICHIYO YAMAMURA","Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells","cancer research","MICHIYO YAMAMURA cancer research"
"TONI IBRAHIM","Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines","medicine","TONI IBRAHIM medicine"
"LI MA","Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2","molecular biology","LI MA molecular biology"
"Steffen Zender","A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas","biology","Steffen Zender biology"
"Luke Martin McCaffrey","Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis","biology","Luke Martin McCaffrey biology"
"Lu Wang","CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis","biology","Lu Wang biology"
"Corentin Herbert","Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling","biology","Corentin Herbert biology"
"Janice D. Thomas","Rab1A Is an mTORC1 Activator and a Colorectal Oncogene","biology","Janice D. Thomas biology"
"King Ching Ho","Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability","immunology","King Ching Ho immunology"
"Nathalie Delgehyr","Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability","biology","Nathalie Delgehyr biology"
"Rajesh K. Grover","The costimulatory immunogen LPS induces the B-Cell clones that infiltrate transplanted human kidneys","biology","Rajesh K. Grover biology"
"Kevin Y. Lee","Shox2 is a molecular determinant of depot-specific adipocyte function","biology","Kevin Y. Lee biology"
"Shuyu Ren","LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1","biology","Shuyu Ren biology"
"Zhongyuan Wang","Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility","cell biology","Zhongyuan Wang cell biology"
